Id,PostId,Score,CreationDate,UserId,ContentLicense
163,159,1,2015-01-28T17:28:30.350,132,CC BY-SA 3.0
164,159,0,2015-01-28T17:35:30.983,57,CC BY-SA 3.0
165,80,0,2015-01-28T17:40:16.663,76,CC BY-SA 3.0
166,165,1,2015-01-28T17:42:25.997,68,CC BY-SA 3.0
169,135,4,2015-01-28T18:11:56.757,76,CC BY-SA 3.0
170,154,0,2015-01-28T18:14:19.093,76,CC BY-SA 3.0
171,149,0,2015-01-28T18:15:38.697,76,CC BY-SA 3.0
172,102,2,2015-01-28T18:23:00.637,76,CC BY-SA 3.0
173,149,1,2015-01-28T18:23:42.627,24,CC BY-SA 3.0
174,164,1,2015-01-28T18:41:46.497,37,CC BY-SA 3.0
175,164,1,2015-01-28T18:43:07.803,2,CC BY-SA 3.0
176,179,6,2015-01-28T18:47:46.387,2,CC BY-SA 3.0
177,80,0,2015-01-28T19:08:40.527,54,CC BY-SA 3.0
178,80,0,2015-01-28T19:10:12.347,76,CC BY-SA 3.0
179,180,9,2015-01-28T19:24:56.073,133,CC BY-SA 3.0
180,181,1,2015-01-28T19:32:06.743,76,CC BY-SA 3.0
181,169,0,2015-01-28T19:40:33.570,76,CC BY-SA 3.0
182,109,2,2015-01-28T19:42:30.307,76,CC BY-SA 3.0
185,79,1,2015-01-28T20:13:37.433,23,CC BY-SA 3.0
186,165,2,2015-01-28T20:55:39.277,10,CC BY-SA 3.0
188,185,1,2015-01-28T21:06:59.120,10,CC BY-SA 3.0
189,185,0,2015-01-28T21:07:20.750,8,CC BY-SA 3.0
190,185,0,2015-01-28T21:08:01.883,8,CC BY-SA 3.0
191,182,0,2015-01-28T21:08:58.837,48,CC BY-SA 3.0
192,185,0,2015-01-28T21:09:15.153,10,CC BY-SA 3.0
193,169,1,2015-01-28T21:17:15.253,10,CC BY-SA 3.0
194,41,4,2015-01-28T21:18:16.450,39,CC BY-SA 3.0
195,41,0,2015-01-28T21:19:15.607,10,CC BY-SA 3.0
196,182,1,2015-01-28T21:28:50.627,100,CC BY-SA 3.0
197,164,1,2015-01-28T21:31:50.520,17,CC BY-SA 3.0
198,169,1,2015-01-28T21:32:36.660,78,CC BY-SA 3.0
199,169,0,2015-01-28T21:34:39.247,10,CC BY-SA 3.0
201,194,0,2015-01-28T22:12:17.343,110,CC BY-SA 3.0
202,194,0,2015-01-28T22:25:24.720,100,CC BY-SA 3.0
203,79,0,2015-01-28T22:45:43.063,86,CC BY-SA 3.0
206,200,0,2015-01-28T23:25:22.140,76,CC BY-SA 3.0
