Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
192,27,2,2015-01-27T00:00:00.000,,
193,25,2,2015-01-27T00:00:00.000,,
194,1,2,2015-01-27T00:00:00.000,,
195,24,2,2015-01-27T00:00:00.000,,
196,10,2,2015-01-27T00:00:00.000,,
197,23,2,2015-01-27T00:00:00.000,,
198,2,2,2015-01-27T00:00:00.000,,
199,22,2,2015-01-27T00:00:00.000,,
200,21,2,2015-01-27T00:00:00.000,,
201,12,2,2015-01-27T00:00:00.000,,
203,57,2,2015-01-27T00:00:00.000,,
204,41,2,2015-01-27T00:00:00.000,,
205,48,2,2015-01-27T00:00:00.000,,
206,36,2,2015-01-27T00:00:00.000,,
207,54,2,2015-01-27T00:00:00.000,,
208,56,2,2015-01-27T00:00:00.000,,
209,11,2,2015-01-27T00:00:00.000,,
210,36,2,2015-01-27T00:00:00.000,,
211,46,2,2015-01-27T00:00:00.000,,
212,14,2,2015-01-27T00:00:00.000,,
213,35,2,2015-01-27T00:00:00.000,,
214,24,2,2015-01-27T00:00:00.000,,
215,58,2,2015-01-27T00:00:00.000,,
216,38,2,2015-01-27T00:00:00.000,,
217,38,5,2015-01-27T00:00:00.000,77,
218,38,2,2015-01-27T00:00:00.000,,
219,45,2,2015-01-27T00:00:00.000,,
220,14,2,2015-01-27T00:00:00.000,,
221,61,2,2015-01-27T00:00:00.000,,
222,62,2,2015-01-27T00:00:00.000,,
223,61,2,2015-01-27T00:00:00.000,,
224,60,2,2015-01-27T00:00:00.000,,
225,63,2,2015-01-27T00:00:00.000,,
226,61,2,2015-01-27T00:00:00.000,,
227,59,2,2015-01-27T00:00:00.000,,
228,60,2,2015-01-27T00:00:00.000,,
229,61,2,2015-01-27T00:00:00.000,,
230,61,2,2015-01-27T00:00:00.000,,
231,59,2,2015-01-27T00:00:00.000,,
232,56,2,2015-01-27T00:00:00.000,,
233,33,2,2015-01-27T00:00:00.000,,
234,65,10,2015-01-27T00:00:00.000,,
235,64,2,2015-01-27T00:00:00.000,,
236,61,2,2015-01-27T00:00:00.000,,
237,60,2,2015-01-27T00:00:00.000,,
238,59,2,2015-01-27T00:00:00.000,,
239,59,2,2015-01-27T00:00:00.000,,
240,23,2,2015-01-27T00:00:00.000,,
241,10,2,2015-01-27T00:00:00.000,,
242,59,2,2015-01-27T00:00:00.000,,
243,66,2,2015-01-27T00:00:00.000,,
245,67,2,2015-01-27T00:00:00.000,,
246,66,2,2015-01-27T00:00:00.000,,
247,56,2,2015-01-27T00:00:00.000,,
248,64,2,2015-01-27T00:00:00.000,,
249,48,2,2015-01-27T00:00:00.000,,
250,60,2,2015-01-27T00:00:00.000,,
251,61,2,2015-01-27T00:00:00.000,,
252,62,2,2015-01-27T00:00:00.000,,
253,63,2,2015-01-27T00:00:00.000,,
254,41,2,2015-01-27T00:00:00.000,,
255,39,2,2015-01-27T00:00:00.000,,
258,69,2,2015-01-27T00:00:00.000,,
259,62,2,2015-01-27T00:00:00.000,,
260,61,2,2015-01-27T00:00:00.000,,
262,56,2,2015-01-27T00:00:00.000,,
263,64,2,2015-01-27T00:00:00.000,,
266,43,2,2015-01-27T00:00:00.000,,
267,11,2,2015-01-27T00:00:00.000,,
268,6,2,2015-01-27T00:00:00.000,,
269,72,2,2015-01-27T00:00:00.000,,
270,1,2,2015-01-27T00:00:00.000,,
271,19,2,2015-01-27T00:00:00.000,,
272,24,2,2015-01-27T00:00:00.000,,
275,68,2,2015-01-27T00:00:00.000,,
276,61,2,2015-01-27T00:00:00.000,,
277,68,1,2015-01-27T00:00:00.000,,
280,79,2,2015-01-27T00:00:00.000,,
281,74,2,2015-01-27T00:00:00.000,,
282,70,2,2015-01-27T00:00:00.000,,
283,3,2,2015-01-27T00:00:00.000,,
284,15,2,2015-01-27T00:00:00.000,,
287,61,2,2015-01-28T00:00:00.000,,
288,6,2,2015-01-28T00:00:00.000,,
290,53,2,2015-01-28T00:00:00.000,,
292,55,2,2015-01-28T00:00:00.000,,
293,70,2,2015-01-28T00:00:00.000,,
294,70,5,2015-01-28T00:00:00.000,86,
295,81,2,2015-01-28T00:00:00.000,,
296,34,2,2015-01-28T00:00:00.000,,
297,83,3,2015-01-28T00:00:00.000,,
298,81,16,2015-01-28T00:00:00.000,,
299,86,2,2015-01-28T00:00:00.000,,
300,70,2,2015-01-28T00:00:00.000,,
301,76,2,2015-01-28T00:00:00.000,,
302,85,2,2015-01-28T00:00:00.000,,
303,54,2,2015-01-28T00:00:00.000,,
304,81,16,2015-01-28T00:00:00.000,,
306,87,2,2015-01-28T00:00:00.000,,
307,87,2,2015-01-28T00:00:00.000,,
308,24,2,2015-01-28T00:00:00.000,,
309,53,2,2015-01-28T00:00:00.000,,
310,80,2,2015-01-28T00:00:00.000,,
311,79,2,2015-01-28T00:00:00.000,,
312,60,2,2015-01-28T00:00:00.000,,
313,14,2,2015-01-28T00:00:00.000,,
315,46,2,2015-01-28T00:00:00.000,,
316,84,16,2015-01-28T00:00:00.000,,
317,79,2,2015-01-28T00:00:00.000,,
318,70,2,2015-01-28T00:00:00.000,,
319,14,2,2015-01-28T00:00:00.000,,
320,87,2,2015-01-28T00:00:00.000,,
321,45,2,2015-01-28T00:00:00.000,,
322,38,2,2015-01-28T00:00:00.000,,
323,37,2,2015-01-28T00:00:00.000,,
324,55,2,2015-01-28T00:00:00.000,,
325,4,2,2015-01-28T00:00:00.000,,
326,16,2,2015-01-28T00:00:00.000,,
327,33,2,2015-01-28T00:00:00.000,,
328,34,2,2015-01-28T00:00:00.000,,
329,29,2,2015-01-28T00:00:00.000,,
330,90,2,2015-01-28T00:00:00.000,,
331,90,2,2015-01-28T00:00:00.000,,
332,89,2,2015-01-28T00:00:00.000,,
333,89,3,2015-01-28T00:00:00.000,,
334,61,2,2015-01-28T00:00:00.000,,
335,90,2,2015-01-28T00:00:00.000,,
336,83,3,2015-01-28T00:00:00.000,,
337,34,2,2015-01-28T00:00:00.000,,
338,82,2,2015-01-28T00:00:00.000,,
339,71,2,2015-01-28T00:00:00.000,,
340,66,2,2015-01-28T00:00:00.000,,
342,80,2,2015-01-28T00:00:00.000,,
343,79,2,2015-01-28T00:00:00.000,,
344,81,2,2015-01-28T00:00:00.000,,
345,79,2,2015-01-28T00:00:00.000,,
346,83,3,2015-01-28T00:00:00.000,,
